date,county_en,region,unleaded_95,unleaded_100,super,diesel_driving,autogas,diesel_home_heating
2022-01-04,LASITHI,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,1.807,1.959,,1.528,1.104,1.19
2022-01-04,LESBOS,ΝΟΜΟΣ ΛΕΣΒΟΥ,1.833,1.995,,1.57,1.088,1.273
2022-01-04,LEFKADA,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,1.788,1.951,,1.505,1.031,1.147
2022-01-04,MAGNESIA,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,1.788,1.977,,1.524,1.021,1.209
2022-01-04,MESSENIA,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,1.762,1.924,,1.483,1.045,1.152
2022-01-04,XANTHI,ΝΟΜΟΣ ΞΑΝΘΗΣ,1.767,1.947,,1.488,1.067,1.113
2022-01-04,PELLA,ΝΟΜΟΣ ΠΕΛΛΗΣ,1.739,1.898,,1.457,0.989,1.112
2022-01-04,PIERIA,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,1.735,1.924,,1.461,1.013,1.099
2022-01-04,PREVEZA,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,1.735,1.88,,1.466,0.987,1.109
2022-01-04,RETHYMNO,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,1.813,1.941,,1.533,1.085,1.198
2022-01-04,RHODOPE,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,1.753,1.921,,1.479,1.037,1.12
2022-01-04,SAMOS,ΝΟΜΟΣ ΣΑΜΟΥ,1.826,1.99,,1.535,1.097,1.258
2022-01-04,SERRES,ΝΟΜΟΣ ΣΕΡΡΩΝ,1.734,1.897,,1.45,1.011,1.1
2022-01-04,TRIKALA,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,1.734,1.891,,1.478,0.991,1.098
2022-01-04,FTHIOTIDA,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,1.78,1.965,,1.509,1.04,1.153
2022-01-04,FLORINA,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,1.729,1.933,,1.475,1.038,1.121
2022-01-04,FOKIDA,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,1.808,1.926,,1.544,1.066,1.185
