Name,TotalCases,Continent,NewCases 2,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population (2020),Med. Age,testing_mean_diff_pct,cases_rate_normalized,cases_rate_mean_diff_pct
Indonesia,3293,Asia,337,280,40,252,2761,,12,1,14354,52,273523615,30,-99.29,23.08,113.07
Saudi Arabia,3287,Asia,355,44,3,666,2577,41,94,1,,,34813871,32,,,
Mexico,3181,North America,396,174,33,633,2374,89,25,1,25410,197,128932753,29,-97.3,12.69,17.15
Luxembourg,3034,Europe,,46,,500,2488,34,4847,73,26573,42450,625978,40,482.85,11.42,5.43
Serbia,2867,Europe,201,66,1,118,2683,127,328,8,12347,1413,8737371,42,-80.6,23.21,114.27
UAE,2659,Asia,,12,,239,2408,1,269,1,593095,59967,9890402,33,723.37,0.45,-95.85
Finland,2605,Europe,118,42,2,300,2263,82,470,8,36500,6588,5540720,43,-9.54,7.13,-34.18
Panama,2528,North America,,63,,16,2449,101,586,15,11776,2729,4314767,30,-62.53,21.47,98.21
Thailand,2423,Asia,54,32,2,940,1451,61,35,0.5,71860,1030,69799978,40,-85.86,3.4,-68.61
Qatar,2376,Asia,166,6,,206,2164,37,825,2,43144,14975,2881053,32,105.61,5.51,-49.13
Dominican Republic,2111,North America,,108,,50,1953,147,195,10,4542,419,10847910,28,-94.25,46.54,329.65
Colombia,2054,South America,,55,,123,1876,76,40,1,33575,660,50882891,31,-90.94,6.06,-44.05
Singapore,1910,Asia,287,6,,406,1498,29,326,1,65000,11110,5850342,42,52.54,2.93,-72.95
Ukraine,1892,Europe,224,57,5,45,1790,33,43,1,20608,471,43733762,41,-93.53,9.13,-15.71
Greece,1884,Europe,,83,,269,1532,84,181,8,32528,3121,10423054,46,-57.15,5.8,-46.46
South Africa,1845,Africa,,18,,95,1732,7,31,0.3,63776,1075,59308690,28,-85.24,2.88,-73.41
Argentina,1795,South America,,67,2,358,1370,96,40,1,14850,329,45195774,32,-95.48,12.16,12.26
Iceland,1616,Europe,,6,,633,977,13,4736,18,30947,90689,341243,37,1145.19,5.22,-51.81
Algeria,1572,Africa,,205,,237,1130,46,36,5,3359,77,43851044,29,-98.94,46.75,331.59
Egypt,1560,Africa,,103,,305,1152,,15,1,25000,244,102334404,25,-96.65,6.15,-43.22
Croatia,1407,Europe,64,20,1,219,1168,34,343,5,13680,3332,4105267,44,-54.25,10.29,-5
Morocco,1346,Africa,71,96,3,103,1147,1,36,3,6116,166,36910560,30,-97.72,21.69,100.24
New Zealand,1239,Australia/Oceania,29,1,,317,921,4,257,0.2,51165,10610,4822233,38,45.68,2.42,-77.66
Estonia,1207,Europe,22,24,,83,1100,9,910,18,26416,19914,1326535,42,173.43,4.57,-57.81
